propinsi,lat,lon,penduduk,radius
Provinsi Aceh,4.695135,96.7493993,5459900,136
Provinsi Bali,-8.4095178,115.188916,4380800,43
Provinsi Banten,-6.4058172,106.0640179,13160500,55
Provinsi Bengkulu,-3.5778471,102.3463875,2019800,79
Provinsi DI Yogyakarta,-7.8753849,110.4262088,3882300,32
Provinsi DKI Jakarta,-6.211544,106.845172,10645000,15
Provinsi Gorontalo,0.6999372,122.4467238,1219600,60
Provinsi Jambi,-1.4851831,102.4380581,3677900,126
Provinsi Jawa Barat,-7.090911,107.668887,49935700,106
Provinsi Jawa Tengah,-7.150975,110.1402594,34940100,102
Provinsi Jawa Timur,-7.5360639,112.2384017,39886300,123
Provinsi Kalimantan Barat,-0.2787808,111.4752851,5134800,217
Provinsi Kalimantan Selatan,-3.0926415,115.2837585,4304000,111
Provinsi Kalimantan Tengah,-1.6814878,113.3823545,2769200,221
Provinsi Kalimantan Timur,1.6406296,116.419389,4561700,201
Provinsi Kalimantan Utara,2.845833,117.366667,695562,151
Provinsi Kepulauan Bangka Belitung,-2.7410513,106.4405872,1517600,72
Provinsi Kepulauan Riau,3.9456514,108.1428669,2242200,51
Provinsi Lampung,-4.5585849,105.4068079,8521200,106
Provinsi Maluku,-3.2384616,130.1452734,1831900,142
Provinsi Maluku Utara,1.5709993,127.8087693,1278800,101
Provinsi Nusa Tenggara Barat,-8.6529334,117.3616476,5125600,80
Provinsi Nusa Tenggara Timur,-8.6573819,121.0793705,5541400,124
Provinsi Papua,-4.269928,138.0803529,3435400,315
Provinsi Papua Barat,-1.3361154,133.1747162,981800,181
Provinsi Riau,0.2933469,101.7068294,2242200,166
Provinsi Sulawesi Barat,-2.8441371,119.2320784,1405000,73
Provinsi Sulawesi Selatan,-3.6687994,119.9740534,8928000,122
Provinsi Sulawesi Tengah,-1.4300254,121.4456179,3097000,140
Provinsi Sulawesi Tenggara,-4.14491,122.174605,2755600,110
Provinsi Sulawesi Utara,0.6246932,123.9750018,2528800,67
Provinsi Sumatera Barat,-0.7399397,100.8000051,5498800,116
Provinsi Sumatera Selatan,-3.3194374,103.914399,8567900,170
Provinsi Sumatera Utara,2.1153547,99.5450974,14703500,152
